,,,,TestCentral,,,
,,,,,,,
,,,,,,,
,,,,,,,
Regression Level,TestCase,Case Description,Result,Assigned To,CR/BR Reasons,Comments,
3,DSR SI&T.A/V Presentation.Audio:004-007,Dolby Digital Plus and Language Descriptor selection,B,"Purba, Josua (jpurba)",Test Environment Unavailable,Streaming requested but don't know the status. Streaming submitted ID 23 (http//ironcode.mot.com/frameworkstreamer.aspx). Also covered by 311-316 (http://teststream.mot.com/dashboard/),
5,DSR SI&T.A/V Presentation.Audio:004-008,DD+ 7.1 at 1.5 Mbps,B,"Purba, Josua (jpurba)",Test Environment Unavailable,The existing DD 1.5 Mbps does not run on the stream pulse client.,
3,DSR SI&T.A/V Presentation.Audio:005-001,Audio Setting Menu: HiFi is a user selectable,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:005-002,Audio Setting menu: TV (Heavy) is a user selectable,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:005-003,Audio setting menu: HiFi is a user selectable.,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:005-004,Audio Setting menu: No Compression is a user selectable,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:005-005,Audio Setting-Digital Audio: Dolby Digital is a user selectable (DSR605/630),P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:005-006,Audio Setting - Digital Audio: LPCM is selectable.,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:005-007,Dolby Digital and Dolby Digital Plus Compression level support,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:005-008,Audio Downmixing,P,"Purba, Josua (jpurba)",,"On 800 units, no digital input/output, so check only HDMI and Analog.",
3,DSR SI&T.A/V Presentation.Audio:005-009,Change audio PID,P,"Purba, Josua (jpurba)",,use stream file: T:\STREAMS\Audio\change_pid\pmtvsnchange.tp,
3,DSR SI&T.A/V Presentation.Audio:006-001,AC-3 Passthrough to SPDIF,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:006-002,Convert AC-3 to PCM for SPDIF,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:006-003,AC-3 Passthrough to HDMI,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:006-004,Convert AC-3 tp PCM for HDMI,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:006-005,HDMI Passthrough AC-3 when EDID supports AC-3,F,"Purba, Josua (jpurba)",OKDSR8XX-387,Jira # OKDSR8XX-387: A/V Receiver shows Audio format PCM instead Digital Dolby. \\arrisi.com\ArrisDfs\SDCA-SVR02-F\sdcatv\STREAMS\DSR Streams\BALOONS.TRP,
3,DSR SI&T.A/V Presentation.Audio:006-006,HDMI convert AC-3 to PCM when EDID does not support AC-3,P,"Purba, Josua (jpurba)",,A/V Receiver show PCM on the screen.,
3,DSR SI&T.A/V Presentation.Audio:006-007,Convert DD+ to AC-3 for SPDIF,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:006-008,Convert DD+ to PCM for SPDIF,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:006-009,DD+ Passthrough to HDMI,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:006-010,Convert DD+ to PCM for HDMI,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:006-011,HDMI Convert DD+ to AC3 with HDMI Audio set to AUTO and EDID supports AC-3,F,"Purba, Josua (jpurba)",OKDSR8XX-387,Jira # OKDSR8XX-387: It shows PCM on the screen. when play Digital Dolby plus (DD+) streaming: \\arrisi.com\ArrisDfs\SDCA-SVR02-F\sdcatv\STREAMS\DSR Streams\MPEG-2+DDP.trp,
3,DSR SI&T.A/V Presentation.Audio:006-012,HDMI Passthrough DD+ with HDMI Audio set to Auto and EDID supports DD+,F,"Purba, Josua (jpurba)",OKDSR8XX-387,Jira # OKDSR8XX-387: It shows PCM on the screen. when play Digital Dolby plus (DD+) streaming: \\arrisi.com\ArrisDfs\SDCA-SVR02-F\sdcatv\STREAMS\DSR Streams\MPEG-2+DDP.trp,
3,DSR SI&T.A/V Presentation.Audio:006-013,HDMI Convert DD+ to PCM with HDMI Audio set to Auto and EDID does not support AC-3 or DD+,P,"Purba, Josua (jpurba)",,A/V Receiver shows PCM on the screen.,
3,DSR SI&T.A/V Presentation.Audio:006-014,Convert AAC-LC to AC-3 for SPDIF - Digital Audio set to Dolby Digital,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:006-015,Convert AAC-LC to PCM for SPDIF - Digital Audio set to PCM,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:006-016,HDMI convert AAC-LC to AC-3 - HDMI Audio set to PASS THROUGH,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:006-017,HDMI convert AAC-LC to PCM - HDMI Audio set to PCM,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:006-018,HDMI convert AAC-LC to AC-3 when EDID supports AC-3,P,"Purba, Josua (jpurba)",,A/V Receiver shows Dolby Digital on display.,
3,DSR SI&T.A/V Presentation.Audio:006-019,HDMI convert AAC-LC to PCM when EDID does not support AC-3,P,"Purba, Josua (jpurba)",,A/V Receiver shows PCM on display.,
3,DSR SI&T.A/V Presentation.Audio:006-020,Convert HE-AAC to AC-3 for SPDIF - Digital Audio set to Dolby Digital,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:006-021,Convert HE-AAC to PCM for SPDIF - Digital Audio set to PCM,P,"Purba, Josua (jpurba)",,T:\STREAMS\HTTP Progressive Download\KA\NJN_AAC-LC-M4_ADTS_st128kbps_44.1khz_H264.ts,
3,DSR SI&T.A/V Presentation.Audio:006-022,HDMI convert HE-AAC to AC-3 - HDMI Audio set to PASS THROUGH,P,"Purba, Josua (jpurba)",,T:\STREAMS\Audio\AAC\HE-AAC\NJN_HE-AACv1_ADTS_st96kbps_48khz_H264.ts,
3,DSR SI&T.A/V Presentation.Audio:006-023,HDMI convert HE-AAC to PCM - HDMI Audio set to PCM,P,"Purba, Josua (jpurba)",,T:\STREAMS\Audio\AAC\HE-AAC\NJN_HE-AACv1_ADTS_st96kbps_48khz_H264.ts,
3,DSR SI&T.A/V Presentation.Audio:006-024,HDMI convert HE-AAC to AC-3 when EDID supports AC-3,P,"Purba, Josua (jpurba)",,We saw A/V receiver said all channel stereo with the above stream. Move HDMI to TV to confirm the format on the analyzer.,
3,DSR SI&T.A/V Presentation.Audio:006-025,HDMI convert HE-AAC to PCM when EDID does not support AC-3,P,"Purba, Josua (jpurba)",,A/V Receiver shows PCM on display.,
3,DSR SI&T.A/V Presentation.Audio:006-026,HDMI convert AAC to PCM in PASSTHROUGH (7xx only),P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:006-027,HDMI pass AAC in AUTO mode,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:006-028,SPDIF in PCM mode,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:007-001,Transcode stereo digital audio format to AC-3 Stereo,P,"Purba, Josua (jpurba)",,T:\STREAMS\Audio\AAC\AAC-LC\Sample Rate\MPEG-2\NJN_AAC-LC-M2_ADTS_st128kbps_48khz_H264.ts,
3,DSR SI&T.A/V Presentation.Audio:007-002,Transcode multichannel digital audio format to AC-3_5.1,P,"Purba, Josua (jpurba)",,T:\STREAMS\Audio\AAC\MultiChannel 5.1\NJN_AAC-LC-M2_ADTS_5.1384kbps_48khz_H264.ts,
5,DSR SI&T.A/V Presentation.Audio:008-001,MPEG-2 AAC-LC decoding supports 8 KHz sample rate,B,"Purba, Josua (jpurba)",Test Environment Unavailable,Streaming requested but don't know the status. Streaming submitted ID 19 (http//ironcode.mot.com/frameworkstreamer.aspx). Also covered by 311-316 (http://teststream.mot.com/dashboard/),
5,DSR SI&T.A/V Presentation.Audio:008-002,MPEG-2 AAC-LC decoding supports 16 KHz sample rate,P,"Purba, Josua (jpurba)",,T:\STREAMS\Audio\AAC\AAC-LC\Sample Rate\MPEG-2desp-h-abc_H264_16Khz_MPEG2AAC-LC.ts,
3,DSR SI&T.A/V Presentation.Audio:008-003,MPEG-2 AAC-LC decoding supports 32 KHz sample rate,P,"Purba, Josua (jpurba)",,T:\STREAMS\Audio\AAC\AAC-LC\Sample Rate\MPEG-2\desp-h-abc_H264_32Khz_MPEG2AAC-LC.ts,
4,DSR SI&T.A/V Presentation.Audio:008-004,MPEG-2 AAC-LC decoding supports 44.1 KHz sample rate,P,"Purba, Josua (jpurba)",,T:\STREAMS\Audio\AAC\AAC-LC\Sample Rate\MPEG-2\NJN_AAC-LC-M2_ADTS_st128kbps_44.1khz_H264.ts,
3,DSR SI&T.A/V Presentation.Audio:008-005,MPEG-2 AAC-LC decoding supports 48 KHz sample rate,P,"Purba, Josua (jpurba)",,T:\STREAMS\Audio\AAC\AAC-LC\Sample Rate\MPEG-2\NJN_AAC-LC-M2_ADTS_st128kbps_48khz_H264.ts,
5,DSR SI&T.A/V Presentation.Audio:008-006,MPEG-4 AAC-LC decoding supports 8 KHz sample rate,B,"Purba, Josua (jpurba)",Test Environment Unavailable,Streaming requested but don't know the status. Streaming submitted ID 19 (http//ironcode.mot.com/frameworkstreamer.aspx). Also covered by 311-316 (http://teststream.mot.com/dashboard/),
5,DSR SI&T.A/V Presentation.Audio:008-007,MPEG-4 AAC-LC decoding supports 16 KHz sample rate,P,"Purba, Josua (jpurba)",,T:\STREAMS\Audio\AAC\AAC-LC\Sample Rate\MPEG-4\desp-h-abc_H264_16Khz_MPEG4AAC-LC.ts,
3,DSR SI&T.A/V Presentation.Audio:008-008,MPEG-4 AAC-LC decoding supports 32 KHz sample rate,P,"Purba, Josua (jpurba)",,T:\STREAMS\Audio\AAC\AAC-LC\Sample Rate\MPEG-4\desp-h-abc_H264_32Khz_MPEG4AAC-LC.ts,
4,DSR SI&T.A/V Presentation.Audio:008-009,MPEG-4 AAC-LC decoding supports 44.1 KHz sample rate,P,"Purba, Josua (jpurba)",,T:\STREAMS\HTTP Progressive Download\KA\NJN_AAC-LC-M4_ADTS_st128kbps_44.1khz_H264.ts,
3,DSR SI&T.A/V Presentation.Audio:008-010,MPEG-4 AAC-LC decoding supports 48 KHz sample rate,P,"Purba, Josua (jpurba)",,T:\STREAMS\Audio\AAC\AAC-LC\Sample Rate\MPEG-4\NJN_AAC-LC-M4_ADTS_st128kbps_48khz_H264.ts,
5,DSR SI&T.A/V Presentation.Audio:008-011,MPEG-4 HE-AAC decoding supports 16 KHz sample rate,B,"Purba, Josua (jpurba)",Test Environment Unavailable,Streaming requested but don't know the status. Streaming submitted ID 19 (http//ironcode.mot.com/frameworkstreamer.aspx). Also covered by 311-316 (http://teststream.mot.com/dashboard/),
3,DSR SI&T.A/V Presentation.Audio:008-012,MPEG-4 HE-AAC decoding supports 32 KHz sample rate,B,"Purba, Josua (jpurba)",Test Environment Unavailable,Streaming requested but don't know the status. Streaming submitted ID 20 (http//ironcode.mot.com/frameworkstreamer.aspx). Also covered by 311-316 (http://teststream.mot.com/dashboard/),
4,DSR SI&T.A/V Presentation.Audio:008-013,MPEG-4 HE-AAC decoding supports 44.1 KHz sample rate,P,"Purba, Josua (jpurba)",,T:\STREAMS\Audio\AAC\HE-AAC\Sample Rate\NJN_HE-AACv1_ADTS_st96kbps_44.1khz_H264.ts,
3,DSR SI&T.A/V Presentation.Audio:008-014,MPEG-4 HE-AAC decoding supportw 48 KHz sample rate,P,"Purba, Josua (jpurba)",,T:\STREAMS\Audio\AAC\HE-AAC\Sample Rate\NJN_HE-AACv1_ADTS_st96kbps_48khz_H264.ts,
5,DSR SI&T.A/V Presentation.Audio:008-015,MPEG-2 AAC-LC decoding supports CBR encoded content at a minimum bitrate  of 16 Kbps,B,"Purba, Josua (jpurba)",Test Environment Unavailable,Streaming requested but don't know the status. Streaming submitted ID 21 (http//ironcode.mot.com/frameworkstreamer.aspx). Also covered by 311-316 (http://teststream.mot.com/dashboard/),
3,DSR SI&T.A/V Presentation.Audio:008-016,MPEG-2 AAC-LC decoding supports CBR encoded content at an intermediate bitrate  of 128 Kbps,P,"Purba, Josua (jpurba)",,T:\STREAMS\Audio\AAC\AAC-LC\Bit Rate\MPEG-2\NJN_AAC-LC-M2_ADTS_st128kbps_48khz_H264.ts,
5,DSR SI&T.A/V Presentation.Audio:008-017,MPEG-2 AAC-LC decoding supports CBR encoded content at a maximum bitrate  of 256 Kbps,B,"Purba, Josua (jpurba)",Test Environment Unavailable,Streaming requested but don't know the status. Streaming submitted ID 21 (http//ironcode.mot.com/frameworkstreamer.aspx). Also covered by 311-316 (http://teststream.mot.com/dashboard/),
5,DSR SI&T.A/V Presentation.Audio:008-018,MPEG-2 AAC-LC decoding supports VBR encoded content with bitrates from 16 Kbps to 256 Kbps,B,"Purba, Josua (jpurba)",Test Environment Unavailable,Streaming requested but don't know the status. Streaming submitted ID 21 (http//ironcode.mot.com/frameworkstreamer.aspx). Also covered by 311-316 (http://teststream.mot.com/dashboard/),
5,DSR SI&T.A/V Presentation.Audio:008-019,MPEG-4 AAC-LC decoding supports CBR encoded content at a minimum bitrate of 16 Kbps,B,"Purba, Josua (jpurba)",Test Environment Unavailable,Streaming requested but don't know the status. Streaming submitted ID 21 (http//ironcode.mot.com/frameworkstreamer.aspx). Also covered by 311-316 (http://teststream.mot.com/dashboard/),
3,DSR SI&T.A/V Presentation.Audio:008-020,MPEG-4 AAC-LC decoding supports CBR encoded content at an intermediate bitrate of 128 Kbps,P,"Purba, Josua (jpurba)",,T:\STREAMS\Audio\AAC\AAC-LC\Bit Rate\MPEG-4\NJN_AAC-LC-M4_ADTS_st128kbps_48khz_H264.ts,
5,DSR SI&T.A/V Presentation.Audio:008-021,MPEG-4 AAC-LC decoding supports CBR encoded content at a maximum bitrate of 256 Kbps,B,"Purba, Josua (jpurba)",Test Environment Unavailable,Streaming requested but don't know the status. Streaming submitted ID 21 (http//ironcode.mot.com/frameworkstreamer.aspx). Also covered by 311-316 (http://teststream.mot.com/dashboard/),
5,DSR SI&T.A/V Presentation.Audio:008-022,MPEG-4 AAC-LC decoding supports VBR encoded content with bitrates from 16 Kbps to 256 Kbps,B,"Purba, Josua (jpurba)",Test Environment Unavailable,Streaming requested but don't know the status. Streaming submitted ID 21 (http//ironcode.mot.com/frameworkstreamer.aspx). Also covered by 311-316 (http://teststream.mot.com/dashboard/),
5,DSR SI&T.A/V Presentation.Audio:008-023,MPEG-4 HE-AAC decoding supports CBR encoded content at a minimum bitrate of 16 Kbps,B,"Purba, Josua (jpurba)",Test Environment Unavailable,Streaming requested but don't know the status. Streaming submitted ID 22 (http//ironcode.mot.com/frameworkstreamer.aspx). Also covered by 311-316 (http://teststream.mot.com/dashboard/),
3,DSR SI&T.A/V Presentation.Audio:008-024,MPEG-4 HE-AAC decoding supports CBR encoded content at an intermediate bitrate of 96 Kbps,P,"Purba, Josua (jpurba)",,T:\STREAMS\Audio\AAC\HE-AAC\NJN_HE-AACv1_ADTS_st96kbps_48khz_H264.ts,
5,DSR SI&T.A/V Presentation.Audio:008-025,MPEG-4 HE-AAC decoding supports CBR encoded content at a maximum bitrate of 288 Kbps,B,"Purba, Josua (jpurba)",Test Environment Unavailable,Streaming requested but don't know the status. Streaming submitted ID 22 (http//ironcode.mot.com/frameworkstreamer.aspx). Also covered by 311-316 (http://teststream.mot.com/dashboard/),
5,DSR SI&T.A/V Presentation.Audio:008-026,MPEG-4 HE-AAC decoding supports VBR encoded content with bitrates from 16 Kbps to 288 Kbps,B,"Purba, Josua (jpurba)",Test Environment Unavailable,Streaming requested but don't know the status. Streaming submitted ID 22 (http//ironcode.mot.com/frameworkstreamer.aspx). Also covered by 311-316 (http://teststream.mot.com/dashboard/),
3,DSR SI&T.A/V Presentation.Audio:008-027,MPEG-2 & MPEG-4 ADTS,P,"Purba, Josua (jpurba)",,,
3,DSR SI&T.A/V Presentation.Audio:008-028,MPEG-4 LATM/LOAS,F,"Purba, Josua (jpurba)",OKDSR8XX-383,"No audio on both 800 and 830. However, 6xx unit in the lab also does not have any audio.",
3,DSR SI&T.A/V Presentation.Audio:008-029,AAC at 384 kbps,P,"Purba, Josua (jpurba)",,,
4,DSR SI&T.A/V Presentation.Audio:009-001,MPEG-1 Audio,D,"Cobbs, David (MGIA1180)",,These are obsolete test cases.,
3,DSR SI&T.A/V Presentation.Audio:009-002,MPEG-1 at 32 kHz,D,"Cobbs, David (MGIA1180)",,These are obsolete test cases.,
3,DSR SI&T.A/V Presentation.Audio:009-003,MPEG-1 at 44.1 kHz,D,"Cobbs, David (MGIA1180)",,These are obsolete test cases.,
